id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;燁華;白;燁霖.魏75@yahoo.com;repurpose withdrawal;2024-02-19T21:53:31;71697;45464
2;燁磊;賈;健柏.蕭@gmail.com;withdrawal;2024-02-20T01:50:23;75289;21024
3;浩軒;龍;紹齊.馮@gmail.com;Sleek;2024-02-19T10:53:47;71090;65309
4;熠彤;許;胤祥.潘@hotmail.com;reinvent orchestrate;2024-02-19T06:23:24;52820;82484
5;嘉懿;彭;雨澤14@hotmail.com;mobile Granite;2024-02-20T01:01:18;13439;33970
6;梓晨;孫;天磊.夏73@gmail.com;Jersey time-frame;2024-02-19T09:47:30;64329;13556
7;浩宇;林;嘉懿72@yahoo.com;Devolved rich;2024-02-19T12:17:38;54588;45928
8;遠航;洪;致遠8@yahoo.com;payment 福建省;2024-02-20T02:21:02;3244;21747
9;立誠;陶;鵬濤_郭98@hotmail.com;white;2024-02-19T17:41:41;90189;81327
10;紹齊;白;俊馳79@gmail.com;Table 福建省 Checking;2024-02-19T06:21:51;32637;8639
